SITE,SITE_CODE,BLOCK,PLOT,SUBPLOT,SPECIES,COVER,DATE,RESURVEY,SURVEY_ID,SEASON,NOTES
Bladen_Lakes,blad.us.dragnet,1,4,B,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Gaylussacia_frondosa,2,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Overstory,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Vaccinium_crassifolium,30,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Vaccinium_tenellum,53,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Gaylussacia_frondosa,6,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Overstory,40,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Vaccinium_tenellum,74,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Aristida_stricta,3,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Carphephorus_bellidifolius,5,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Dichanthelium_sabulorum_thinium,1,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Gelsemium_sempervirens,46,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Overstory,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Pinus_palustris,30,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Pityopsis_aspera,16,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Vaccinium_tenellum,12,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,7,C,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,7,C,Gelsemium_sempervirens,55,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,7,C,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,7,C,Overstory,10,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,7,C,Vaccinium_tenellum,2,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,12,C,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,12,C,Gelsemium_sempervirens,65,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,12,C,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,12,C,Overstory,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,12,C,Vaccinium_tenellum,3,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,14,C,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,14,C,Gaylussacia_frondosa,18,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,14,C,Gelsemium_sempervirens,52,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,14,C,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,14,C,Overstory,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,14,C,Rhexia_alifanus,4,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,3,14,C,Vaccinium_tenellum,63,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,18,A,Andropogon_virginicus,4,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,18,A,Aristida_stricta,5,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,18,A,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,18,A,Clethra_alnifolia,2,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,18,A,Dichanthelium_sabulorum_thinium,16,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,18,A,Gelsemium_sempervirens,34,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,18,A,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,18,A,Overstory,10,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,18,A,Vaccinium_tenellum,32,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,19,C,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,19,C,Gelsemium_sempervirens,25,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,19,C,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,19,C,Lyonia_mariana,56,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,19,C,Overstory,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,4,19,C,Vaccinium_tenellum,52,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,21,A,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,21,A,Dichanthelium_sabulorum_thinium,3,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,21,A,Gelsemium_sempervirens,40,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,21,A,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,21,A,Overstory,80,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,21,A,Vaccinium_tenellum,5,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,23,C,Bare_ground,0,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,23,C,Clethra_alnifolia,10,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,23,C,Gelsemium_sempervirens,36,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,23,C,Litter,100,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,23,C,Overstory,5,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,5,23,C,Vaccinium_tenellum,55,30/09/2023,1,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Bare_ground,0,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Gaylussacia_frondosa,2,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Litter,100,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Overstory,0,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Vaccinium_crassifolium,31,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,4,B,Vaccinium_tenellum,56,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Bare_ground,0,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Gaylussacia_frondosa,6,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Litter,100,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Overstory,40,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,1,5,C,Vaccinium_tenellum,73,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Aristida_stricta,5,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Bare_ground,0,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Carphephorus_bellidifolius,5,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Dichanthelium_sabulorum_thinium,1,01/10/2023,2,Alyssa,,
Bladen_Lakes,blad.us.dragnet,2,6,C,Gelsemium_sempervirens,49,01/10/2023,2,Alyssa,,
