"SITE","SITE_CODE","NOTES","continent","country","region","managed","burned","grazed","anthropogenic","habitat","elevation","latitude","longitude","experiment_type","block","plot","trt","first_nutrient_year","species","cover_1","surveyor_1","date_1","cover_2","surveyor_2","date_2","cover_3","surveyor_3","date_3","cover_4","surveyor_4","date_4"
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","acer sp.",0,NA,NA,1,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","agrostis capillaris",45,"ATC","29/06/2023",30,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","bare ground",14,"ATC","29/06/2023",8,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","elymus repens",6,"ATC","29/06/2023",19,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","equisetum arvense",18,"ATC","29/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","festuca rubra",0,NA,NA,5,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","galium mollugo",6,"ATC","29/06/2023",10,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","glechoma hederacea",6,"ATC","29/06/2023",0,NA,NA,NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","holcus lanatus",23,"ATC","29/06/2023",10,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","lathyrus pratensis",4,"ATC","29/06/2023",8,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","lotus corniculatus",2,"ATC","29/06/2023",4,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","lysimachia nummularia",1,"ATC","29/06/2023",3,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","oxalis stricta",8,"ATC","29/06/2023",4,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","plantago lanceolata",7,"ATC","29/06/2023",2,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","ranunculus repens",4,"ATC","29/06/2023",1,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","rumex acetosa",4,"ATC","29/06/2023",3,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","stachys officinalis",3,"ATC","29/06/2023",2,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
"Kniezenberg","kzbg.at.dragnet",NA,"Europe","AT","Europe","1","0","0","1","grassland",400,46.9626,15.2747,"Experimental (Nutrients Only)",1,3,"Control","2023","trisetum flavescens",4,"ATC","29/06/2023",2,"EBS","29/06/2023",NA,NA,NA,NA,NA,NA
